name,Strikes Landed,Strikes Attempted,Takedowns Landed,Takedowns Attempted,Significant strikes per Minute,Significant strikes Absorbed per minute,Takedown Average,Submission Average,Significant Strike Defense,Takedown Defense,Knockdown Average,Average Fight Time,Standing Position Strikes,Clinch Position Strikes,Ground Position Strikes,Wins by KO,Wins by Submission,Wins by Decision,Strikes to Head,Strikes To Body,Strikes To Leg,wins,losses,draws,Win percentage,Striking Accuracy,Takedown Accuracy,Total Fights
John Makdessi,1184,2306,0.0,3,5.57,4.02,0.0,0.0,0.69,0.89,0.42,11.82,0.92,0.05,0.02,0.5,0.5,0.0,615.0,285.0,284.0,18,7,0,0.72,0.5134431916738942,0.0,25
Demian Maia,739,1696,60.0,274,1.8,2.07,2.49,0.99,0.64,0.62,0.04,12.42,0.5,0.12,0.38,0.11,0.39,0.5,592.0,108.0,39.0,28,11,0,0.717948717948718,0.4357311320754717,0.218978102189781,39
Jimi Manuwa,289,533,3.0,16,3.43,3.97,0.53,0.36,0.49,0.71,0.53,7.03,0.62,0.36,0.02,0.88,0.06,0.06,119.0,80.0,90.0,17,6,0,0.7391304347826086,0.5422138836772983,0.1875,23
Troy Mandaloniz,68,120,0.0,6,3.52,4.71,3.1,0.0,0.63,0.57,1.55,9.67,0.6,0.31,0.09,0.0,0.0,0.0,47.0,5.0,16.0,3,2,0,0.6,0.5666666666666667,0.0,5
Randa Markos,674,1544,13.0,59,2.97,3.1,1.12,0.2,0.59,0.53,0.0,12.62,0.61,0.21,0.18,0.0,0.85,0.15,513.0,76.0,85.0,11,12,1,0.4583333333333333,0.4365284974093264,0.2203389830508474,24
Nate Maness,87,203,3.0,4,1.95,4.79,1.01,0.34,0.4,0.78,0.67,11.17,0.67,0.22,0.11,0.36,0.43,0.21,63.0,22.0,2.0,14,2,0,0.875,0.4285714285714285,0.75,16
Julian Marquez,229,521,0.0,5,4.18,3.84,0.0,3.01,0.51,0.53,0.55,9.12,0.59,0.21,0.2,0.67,0.0,0.33,180.0,40.0,9.0,9,3,0,0.75,0.4395393474088291,0.0,12
Anthony Rocco Martin,511,1374,8.0,33,2.68,2.59,0.71,1.02,0.58,0.69,0.16,12.72,0.84,0.08,0.08,0.06,0.38,0.56,371.0,47.0,93.0,17,6,0,0.7391304347826086,0.3719068413391557,0.2424242424242424,23
Jack Marshman,224,875,0.0,0,2.74,4.19,0.0,0.0,0.57,0.2,0.55,10.22,0.93,0.02,0.04,0.57,0.22,0.22,144.0,50.0,30.0,23,10,0,0.696969696969697,0.256,0.0,33
Eliot Marshall,123,455,0.0,6,1.93,2.39,0.47,0.94,0.68,0.79,0.24,10.62,0.85,0.11,0.04,0.0,0.0,0.0,81.0,22.0,20.0,11,5,0,0.6875,0.2703296703296703,0.0,16
Bristol Marunde,40,182,0.0,9,1.42,4.4,1.6,0.0,0.47,0.14,0.0,9.4,0.73,0.28,0.0,0.0,0.0,0.0,32.0,2.0,6.0,12,9,0,0.5714285714285714,0.2197802197802197,0.0,21
Lucas Martins,177,494,0.0,1,2.87,4.14,0.0,0.49,0.6,0.77,0.73,8.8,0.9,0.07,0.03,0.69,0.13,0.19,122.0,25.0,30.0,16,3,0,0.8421052631578947,0.3582995951417004,0.0,19
Adriano Martins,130,336,4.0,5,1.8,2.14,0.83,0.41,0.65,0.82,0.62,9.72,0.88,0.06,0.06,0.46,0.43,0.11,70.0,13.0,47.0,28,9,0,0.7567567567567568,0.3869047619047619,0.8,37
Mana Martinez,123,243,2.0,3,3.8,3.55,0.93,0.93,0.42,0.13,0.93,10.78,0.89,0.02,0.09,0.89,0.11,0.0,60.0,39.0,24.0,9,3,0,0.75,0.5061728395061729,0.6666666666666666,12
Roque Martinez,129,240,0.0,2,3.28,4.9,0.38,0.38,0.56,0.54,0.0,13.12,0.77,0.23,0.0,0.53,0.27,0.2,81.0,31.0,17.0,15,8,2,0.6,0.5375,0.0,25
Henry Martinez,106,417,0.0,3,2.79,4.01,0.0,0.0,0.6,0.8,0.0,12.65,0.96,0.04,0.0,0.0,0.0,0.0,79.0,5.0,22.0,9,3,0,0.75,0.2541966426858513,0.0,12
Jonathan Martinez,651,1348,1.0,10,4.72,3.77,0.54,0.0,0.6,0.73,0.54,13.78,0.83,0.05,0.12,0.47,0.4,0.13,374.0,160.0,117.0,15,4,0,0.7894736842105263,0.4829376854599406,0.1,19
Jorge Masvidal,1502,3120,15.0,59,4.11,3.06,1.44,0.33,0.64,0.74,0.45,13.53,0.71,0.16,0.13,0.46,0.49,0.06,948.0,339.0,215.0,35,16,0,0.6862745098039216,0.4814102564102564,0.2542372881355932,51
Jake Matthews,566,1245,17.0,53,3.17,2.18,1.85,0.59,0.62,0.67,0.42,11.17,0.62,0.07,0.31,0.33,0.33,0.33,434.0,69.0,63.0,18,5,0,0.782608695652174,0.4546184738955823,0.320754716981132,23
Tateki Matsuda,96,278,0.0,2,3.2,3.43,0.0,0.0,0.69,0.17,0.0,15.0,0.89,0.08,0.03,0.4,0.5,0.1,63.0,10.0,23.0,10,7,0,0.5882352941176471,0.3453237410071942,0.0,17
Ian McCall,441,1124,11.0,56,3.59,3.25,2.08,0.0,0.67,0.89,0.0,13.65,0.64,0.2,0.16,0.0,0.0,0.0,201.0,132.0,108.0,13,5,1,0.6842105263157895,0.3923487544483985,0.1964285714285714,19
Michael McBride,99,203,3.0,7,4.08,5.85,1.85,1.24,0.41,0.3,0.0,12.15,0.88,0.03,0.09,0.0,0.0,1.0,60.0,20.0,19.0,8,3,0,0.7272727272727273,0.4876847290640394,0.4285714285714285,11
Gina Mazany,245,481,7.0,36,3.73,3.52,4.34,0.23,0.5,0.33,0.23,8.2,0.63,0.23,0.14,0.57,0.29,0.14,130.0,79.0,36.0,7,6,0,0.5384615384615384,0.5093555093555093,0.1944444444444444,13
Jack May,25,65,1.0,3,1.52,3.29,0.91,0.0,0.33,0.2,0.0,8.22,0.52,0.36,0.12,0.86,0.14,0.0,14.0,7.0,4.0,7,2,0,0.7777777777777778,0.3846153846153846,0.3333333333333333,9
Sabina Mazo,562,1285,0.0,5,6.1,4.35,0.65,0.16,0.57,0.59,0.16,13.15,0.82,0.13,0.05,0.22,0.67,0.11,274.0,144.0,144.0,9,4,0,0.6923076923076923,0.4373540856031128,0.0,13
Gray Maynard,493,1515,50.0,105,1.92,2.64,2.91,0.7,0.67,0.81,0.35,12.87,0.65,0.15,0.2,0.14,0.86,0.0,371.0,100.0,22.0,14,8,1,0.6086956521739131,0.3254125412541254,0.4761904761904761,23
Nick Maximov,84,159,15.0,37,1.82,1.71,5.51,0.32,0.43,1.0,0.0,11.57,0.35,0.15,0.5,0.25,0.38,0.38,63.0,16.0,5.0,8,1,0,0.8888888888888888,0.5283018867924528,0.4054054054054054,9
Gan McGee,43,127,0.0,8,2.02,5.03,1.41,0.0,0.59,0.83,0.0,5.32,0.6,0.05,0.35,0.0,0.0,0.0,36.0,4.0,3.0,12,2,0,0.8571428571428571,0.3385826771653543,0.0,14
Court McGee,1243,3340,23.0,131,4.68,3.69,1.86,0.45,0.61,0.7,0.17,13.3,0.84,0.06,0.09,0.23,0.5,0.27,674.0,261.0,308.0,22,11,0,0.6666666666666666,0.3721556886227545,0.1755725190839694,33
Drew McFedries,108,211,0.0,2,5.13,4.56,1.42,0.71,0.52,0.56,4.27,2.33,0.53,0.24,0.23,0.0,0.0,0.0,84.0,13.0,11.0,8,6,0,0.5714285714285714,0.5118483412322274,0.0,14
Michael McDonald,223,521,0.0,9,2.69,2.76,1.09,1.45,0.57,0.52,1.09,8.28,0.83,0.09,0.09,0.0,0.0,0.0,177.0,24.0,22.0,17,4,0,0.8095238095238095,0.4280230326295585,0.0,21
Bubba McDaniel,53,120,0.0,4,1.64,1.98,0.93,1.39,0.57,0.5,0.0,10.78,0.6,0.15,0.25,0.19,0.05,0.76,34.0,10.0,9.0,21,8,0,0.7241379310344828,0.4416666666666666,0.0,29
Justin McCully,74,195,0.0,9,1.58,2.02,1.28,0.0,0.47,0.44,0.32,11.73,0.45,0.31,0.24,0.0,0.0,0.0,57.0,4.0,13.0,9,5,2,0.5625,0.3794871794871794,0.0,16
Kris McCray,70,154,0.0,9,2.69,2.57,2.88,0.0,0.55,0.38,0.0,8.68,0.43,0.36,0.21,0.0,0.0,0.0,27.0,29.0,14.0,6,3,0,0.6666666666666666,0.4545454545454545,0.0,9
Sean McCorkle,12,27,0.0,5,0.85,2.48,2.12,4.25,0.52,0.33,0.0,4.72,0.42,0.0,0.58,0.0,0.0,0.0,10.0,2.0,0.0,10,2,0,0.8333333333333334,0.4444444444444444,0.0,12
Conor McGregor,599,1204,0.0,9,5.32,4.66,0.67,0.13,0.54,0.67,1.73,8.03,0.77,0.1,0.13,0.86,0.09,0.05,419.0,102.0,78.0,22,6,0,0.7857142857142857,0.4975083056478405,0.0,28
Terrance McKinney,69,123,0.0,10,4.7,2.11,5.11,2.04,0.53,1.0,2.04,2.93,0.52,0.13,0.35,0.42,0.0,0.58,58.0,11.0,0.0,13,4,0,0.7647058823529411,0.5609756097560976,0.0,17
Gerald Meerschaert,385,871,6.0,47,3.04,3.53,2.25,1.77,0.52,0.29,0.24,7.93,0.77,0.14,0.09,0.18,0.06,0.76,286.0,71.0,28.0,34,15,0,0.6938775510204082,0.4420206659012629,0.1276595744680851,49
Tim McKenzie,20,37,0.0,1,1.37,2.96,0.0,2.06,0.45,0.29,0.0,4.85,0.35,0.1,0.55,0.0,0.0,0.0,14.0,3.0,3.0,12,6,0,0.6666666666666666,0.5405405405405406,0.0,18
Antonio McKee,28,61,0.0,6,1.37,0.74,1.47,0.0,0.74,0.57,0.0,11.8,0.68,0.18,0.14,0.0,0.0,0.0,14.0,11.0,3.0,25,4,2,0.8064516129032258,0.4590163934426229,0.0,31
Jordan Mein,450,1008,14.0,24,3.35,2.55,1.56,0.22,0.69,0.67,0.34,11.18,0.78,0.09,0.12,0.53,0.23,0.23,316.0,56.0,78.0,30,12,0,0.7142857142857143,0.4464285714285714,0.5833333333333334,42
Emil Meek,151,383,1.0,3,2.52,2.53,0.25,1.0,0.39,0.48,0.0,15.0,0.51,0.19,0.3,0.78,0.11,0.11,100.0,35.0,16.0,9,5,1,0.6,0.3942558746736292,0.3333333333333333,15
Yancy Medeiros,600,1608,1.0,6,4.36,5.67,0.33,0.65,0.47,0.74,0.98,8.47,0.84,0.1,0.06,0.53,0.2,0.27,390.0,146.0,64.0,15,8,0,0.6521739130434783,0.373134328358209,0.1666666666666666,23
Uroš Medić,130,196,0.0,0,8.14,3.76,0.0,0.0,0.59,0.67,4.7,4.0,0.55,0.04,0.42,0.75,0.0,0.25,83.0,25.0,22.0,8,1,0,0.8888888888888888,0.6632653061224489,0.0,9
Tim Means,1254,2593,8.0,43,5.01,3.63,1.02,0.18,0.61,0.67,0.54,10.0,0.78,0.12,0.09,0.59,0.25,0.16,782.0,333.0,139.0,32,13,1,0.6956521739130435,0.4836097184728114,0.1860465116279069,46
Augusto Mendes,83,238,4.0,12,2.42,3.91,1.75,0.0,0.56,0.8,0.44,11.43,0.77,0.2,0.02,0.17,0.17,0.67,54.0,13.0,16.0,6,2,0,0.75,0.3487394957983193,0.3333333333333333,8
Antonio Mendes,8,17,0.0,2,1.34,6.85,2.51,0.0,0.23,1.0,2.51,3.0,0.5,0.38,0.13,0.0,0.0,0.0,3.0,4.0,1.0,14,4,0,0.7777777777777778,0.4705882352941176,0.0,18
Vanessa Melo,209,679,0.0,3,3.48,6.13,0.0,0.0,0.59,0.71,0.0,15.0,0.95,0.04,0.01,0.0,0.82,0.18,145.0,30.0,34.0,11,8,0,0.5789473684210527,0.3078055964653903,0.0,19
Chad Mendes,454,910,24.0,81,2.78,2.35,4.13,0.28,0.67,1.0,0.73,9.08,0.63,0.07,0.3,0.44,0.44,0.11,312.0,40.0,102.0,18,5,0,0.782608695652174,0.4989010989010989,0.2962962962962963,23
Brandon Melendez,6,23,0.0,0,0.84,0.56,0.0,0.0,0.64,0.25,0.0,7.15,0.83,0.0,0.17,0.0,0.0,0.0,5.0,1.0,0.0,11,5,0,0.6875,0.2608695652173913,0.0,16
Bojan Mihajlovic,26,73,0.0,1,1.23,5.95,0.0,0.0,0.48,0.33,0.0,7.07,0.81,0.19,0.0,0.4,0.4,0.2,7.0,9.0,10.0,10,5,0,0.6666666666666666,0.3561643835616438,0.0,15
Jim Miller,1083,2587,36.0,96,2.79,2.93,1.62,1.78,0.59,0.48,0.19,9.7,0.68,0.17,0.16,0.17,0.29,0.54,640.0,224.0,219.0,35,16,0,0.6862745098039216,0.4186316196366447,0.375,51
Andreas Michailidis,117,227,3.0,11,2.9,3.57,1.12,0.0,0.44,0.5,0.0,10.08,0.84,0.11,0.05,0.54,0.15,0.31,64.0,31.0,22.0,13,6,0,0.6842105263157895,0.5154185022026432,0.2727272727272727,19
Joe Merritt,23,39,0.0,2,1.53,0.73,0.0,0.0,0.67,0.69,0.0,15.0,0.17,0.35,0.48,0.0,0.0,0.0,16.0,3.0,4.0,7,1,0,0.875,0.5897435897435898,0.0,8
Jonathan Meunier,90,178,1.0,3,3.47,1.43,0.58,0.0,0.7,0.59,0.0,12.95,0.7,0.18,0.12,0.63,0.13,0.25,49.0,14.0,27.0,8,1,0,0.8888888888888888,0.5056179775280899,0.3333333333333333,9
Che Mills,53,101,0.0,3,2.08,2.87,1.18,0.0,0.43,0.59,1.18,6.37,0.42,0.3,0.28,0.0,0.0,0.0,29.0,6.0,18.0,15,6,0,0.7142857142857143,0.5247524752475248,0.0,21
Stipe Miocic,970,1821,24.0,73,4.82,3.82,1.86,0.0,0.55,0.68,0.52,11.18,0.71,0.12,0.17,0.75,0.25,0.0,713.0,132.0,125.0,20,4,0,0.8333333333333334,0.5326743547501372,0.3287671232876712,24
Jason Miller,85,255,2.0,24,1.45,4.51,1.02,1.28,0.49,0.44,0.0,14.65,0.72,0.13,0.15,0.0,0.0,0.0,45.0,28.0,12.0,24,10,0,0.7058823529411765,0.3333333333333333,0.0833333333333333,34
Curtis Millender,269,582,1.0,2,3.86,2.95,0.43,0.0,0.61,0.57,0.43,10.58,0.94,0.04,0.02,0.35,0.65,0.0,155.0,43.0,71.0,17,5,0,0.7727272727272727,0.4621993127147766,0.5,22
Mario Miranda,86,159,0.0,5,1.96,2.46,1.02,0.0,0.37,0.55,0.34,10.98,0.3,0.2,0.5,0.0,0.0,0.0,54.0,13.0,19.0,12,3,0,0.8,0.5408805031446541,0.0,15
Vitor Miranda,235,512,5.0,9,2.98,2.95,0.95,0.19,0.59,0.5,0.0,11.25,0.57,0.17,0.26,0.77,0.08,0.15,132.0,35.0,68.0,13,7,0,0.65,0.458984375,0.5555555555555556,20
Carlton Minus,105,262,0.0,1,3.5,4.97,0.0,0.0,0.5,0.59,0.0,15.0,0.99,0.01,0.0,0.6,0.3,0.1,79.0,12.0,14.0,10,3,0,0.7692307692307693,0.4007633587786259,0.0,13
Darrick Minner,126,195,8.0,11,2.58,1.95,2.46,2.77,0.33,0.67,0.31,8.13,0.44,0.24,0.32,0.04,0.12,0.85,79.0,31.0,16.0,26,13,0,0.6666666666666666,0.6461538461538462,0.7272727272727273,39
Bryce Mitchell,181,285,3.0,34,2.28,1.39,3.4,1.89,0.6,0.33,0.19,13.22,0.38,0.04,0.58,0.0,0.4,0.6,124.0,48.0,9.0,15,1,0,0.9375,0.6350877192982456,0.088235294117647,16
Frank Mir,339,721,21.0,52,2.18,3.84,2.02,2.02,0.39,0.55,0.77,5.77,0.42,0.33,0.24,0.0,0.0,0.0,182.0,103.0,54.0,18,11,0,0.6206896551724138,0.4701803051317614,0.4038461538461538,29
Alberto Mina,131,336,5.0,24,3.23,3.7,1.85,0.0,0.47,0.5,1.11,10.15,0.73,0.11,0.16,0.46,0.08,0.46,93.0,13.0,25.0,13,1,0,0.9285714285714286,0.3898809523809524,0.2083333333333333,14
Roxanne Modafferi,668,2179,3.0,77,3.35,5.7,1.35,0.08,0.51,0.3,0.08,14.23,0.82,0.09,0.09,0.16,0.64,0.2,537.0,81.0,50.0,25,21,0,0.5434782608695652,0.3065626434144103,0.0389610389610389,46
Roman Mitichyan,2,12,0.0,1,0.26,2.7,1.93,1.93,0.43,0.25,0.0,3.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9,2,0,0.8181818181818182,0.1666666666666666,0.0,11
Danny Mitchell,76,154,0.0,9,2.53,2.53,0.0,3.0,0.53,1.0,0.0,15.0,0.71,0.2,0.09,0.21,0.14,0.64,36.0,18.0,22.0,14,6,1,0.6666666666666666,0.4935064935064935,0.0,21
Matt Mitrione,313,625,0.0,2,3.55,2.79,0.0,0.68,0.65,0.55,1.53,6.3,0.75,0.1,0.15,0.0,0.0,0.0,225.0,28.0,60.0,9,5,0,0.6428571428571429,0.5008,0.0,14
Darrell Montague,40,155,0.0,4,1.92,5.38,0.72,1.44,0.53,0.33,0.0,6.93,0.98,0.03,0.0,0.38,0.23,0.38,23.0,7.0,10.0,13,5,0,0.7222222222222222,0.2580645161290322,0.0,18
Jeffrey Molina,368,765,0.0,3,7.25,5.04,0.0,0.0,0.56,0.67,0.89,12.7,0.8,0.09,0.11,0.4,0.2,0.4,293.0,51.0,24.0,11,2,0,0.8461538461538461,0.4810457516339869,0.0,13
Ashkan Mokhtarian,54,124,1.0,6,1.95,3.66,0.54,0.0,0.44,0.33,0.0,13.82,0.94,0.02,0.04,0.46,0.08,0.46,22.0,13.0,19.0,13,3,0,0.8125,0.4354838709677419,0.1666666666666666,16
Renato Moicano,591,1229,6.0,29,4.8,4.07,1.7,0.61,0.61,0.73,0.12,9.48,0.9,0.03,0.07,0.0,0.44,0.56,412.0,59.0,120.0,16,5,1,0.7272727272727273,0.4808787632221318,0.2068965517241379,22
Marlon Moraes,290,714,1.0,12,3.37,4.53,0.87,0.35,0.54,0.46,0.87,7.83,0.92,0.01,0.07,0.43,0.3,0.26,189.0,46.0,55.0,23,10,1,0.6764705882352942,0.4061624649859944,0.0833333333333333,34
Sergio Moraes,423,993,8.0,36,2.42,3.73,1.2,0.43,0.6,0.75,0.09,12.48,0.91,0.03,0.06,0.07,0.36,0.57,324.0,73.0,26.0,14,7,1,0.6363636363636364,0.4259818731117825,0.2222222222222222,22
Sheymon Moraes,188,445,0.0,4,3.0,3.64,0.0,0.0,0.64,0.54,0.48,12.52,0.8,0.16,0.04,0.45,0.55,0.0,83.0,85.0,20.0,11,4,0,0.7333333333333333,0.4224719101123595,0.0,15
Steve Montgomery,86,219,0.0,0,4.85,4.12,0.0,0.0,0.48,0.64,0.0,8.87,0.67,0.3,0.02,0.63,0.13,0.25,57.0,26.0,3.0,8,4,0,0.6666666666666666,0.3926940639269406,0.0,12
James Moontasri,142,290,0.0,1,2.39,3.86,0.0,0.25,0.41,0.79,0.51,9.9,0.55,0.18,0.27,0.56,0.22,0.22,82.0,39.0,21.0,9,5,0,0.6428571428571429,0.4896551724137931,0.0,14
Augusto Montano,118,256,0.0,0,3.46,2.66,0.0,0.0,0.57,0.67,0.0,11.38,0.72,0.25,0.03,0.73,0.0,0.27,40.0,22.0,56.0,15,3,0,0.8333333333333334,0.4609375,0.0,18
Richardson Moreira,18,63,0.0,6,1.17,1.83,0.0,0.0,0.67,1.0,0.0,7.67,0.67,0.33,0.0,0.71,0.0,0.29,13.0,3.0,2.0,7,4,0,0.6363636363636364,0.2857142857142857,0.0,11
Sarah Moras,257,749,3.0,23,2.28,3.58,0.67,0.8,0.5,0.33,0.0,12.52,0.63,0.07,0.3,0.5,0.17,0.33,177.0,35.0,45.0,6,8,0,0.4285714285714285,0.3431241655540721,0.1304347826086956,14
Christian Morecraft,78,227,0.0,9,2.82,2.46,3.26,2.17,0.46,0.5,0.0,6.92,0.33,0.06,0.6,0.0,0.0,0.0,64.0,7.0,7.0,7,3,0,0.7,0.3436123348017621,0.0,10
Omar Morales,287,752,1.0,3,3.47,3.12,0.54,0.0,0.61,0.63,0.36,11.82,0.85,0.11,0.05,0.27,0.36,0.36,185.0,57.0,45.0,11,3,0,0.7857142857142857,0.3816489361702128,0.3333333333333333,14
Albert Morales,314,879,3.0,14,3.81,3.96,0.91,0.18,0.56,0.71,0.0,11.77,0.83,0.07,0.1,0.29,0.29,0.43,185.0,37.0,92.0,7,4,1,0.5833333333333334,0.3572241183162685,0.2142857142857142,12
Vince Morales,413,1060,0.0,4,4.42,4.51,0.16,0.0,0.52,0.44,0.48,11.67,0.87,0.07,0.07,0.55,0.27,0.18,261.0,107.0,45.0,11,5,0,0.6875,0.389622641509434,0.0,16
Michael Morales,162,314,0.0,10,5.36,4.1,1.98,0.0,0.4,0.87,1.49,10.08,0.69,0.09,0.22,0.79,0.14,0.07,135.0,12.0,15.0,14,0,0,1.0,0.5159235668789809,0.0,14
Leonardo Morales,36,76,0.0,1,2.05,2.05,0.0,0.0,0.58,0.63,0.0,8.78,0.78,0.11,0.11,0.6,0.2,0.2,13.0,11.0,12.0,5,2,0,0.7142857142857143,0.4736842105263157,0.0,7
Sergey Morozov,157,325,7.0,34,3.34,3.36,2.87,0.0,0.57,0.65,0.32,11.77,0.83,0.05,0.11,0.47,0.35,0.18,127.0,19.0,11.0,18,5,0,0.782608695652174,0.483076923076923,0.2058823529411764,23
Maryna Moroz,464,1448,1.0,27,4.04,3.98,0.78,0.78,0.53,0.47,0.0,12.77,0.8,0.07,0.13,0.09,0.36,0.55,273.0,146.0,45.0,11,3,0,0.7857142857142857,0.3204419889502762,0.037037037037037,14
Sumudaerji,228,415,0.0,1,4.83,2.75,0.32,0.63,0.62,0.67,0.63,9.45,0.71,0.07,0.22,0.81,0.13,0.06,155.0,29.0,44.0,16,5,0,0.7619047619047619,0.5493975903614458,0.0,21
Peggy Morgan,34,147,0.0,0,2.27,8.2,0.0,0.0,0.34,0.5,0.0,15.0,0.91,0.0,0.09,0.0,0.0,0.0,34.0,0.0,0.0,2,1,0,0.6666666666666666,0.2312925170068027,0.0,3
Lauren Mueller,261,625,2.0,6,4.08,3.77,0.7,0.0,0.59,0.71,0.0,12.8,0.74,0.23,0.03,0.2,0.8,0.0,148.0,82.0,31.0,5,3,0,0.625,0.4176,0.3333333333333333,8
Jamie Moyle,203,394,3.0,14,4.51,4.0,1.0,0.0,0.66,0.5,0.0,15.0,0.77,0.16,0.06,0.0,0.75,0.25,97.0,63.0,43.0,4,3,0,0.5714285714285714,0.5152284263959391,0.2142857142857142,7
Pedro Munhoz,1038,2352,7.0,34,5.4,5.96,0.55,0.62,0.58,0.82,0.47,10.68,0.91,0.05,0.04,0.26,0.32,0.42,545.0,174.0,319.0,19,7,0,0.7307692307692307,0.4413265306122449,0.2058823529411764,26
Andre Muniz,108,196,3.0,35,1.91,1.45,3.71,2.12,0.52,0.45,0.0,8.1,0.71,0.09,0.19,0.08,0.61,0.31,77.0,19.0,12.0,23,4,0,0.8518518518518519,0.5510204081632653,0.0857142857142857,27
Lauren Murphy,726,1807,6.0,41,3.84,4.45,1.11,0.08,0.59,0.71,0.08,14.55,0.69,0.16,0.15,0.53,0.4,0.07,525.0,102.0,99.0,16,5,0,0.7619047619047619,0.401770890979524,0.1463414634146341,21
James Mulheron,36,114,0.0,0,2.4,3.47,0.0,0.0,0.43,0.25,0.0,15.0,0.83,0.17,0.0,0.55,0.45,0.0,15.0,18.0,3.0,11,2,0,0.8461538461538461,0.3157894736842105,0.0,13
Jamie Mullarkey,248,564,3.0,33,4.18,4.88,2.53,0.25,0.53,0.67,0.51,9.9,0.82,0.12,0.06,0.71,0.07,0.21,135.0,56.0,57.0,15,5,0,0.75,0.4397163120567376,0.0909090909090909,20
Quinn Mulhern,25,113,0.0,10,1.38,3.82,0.0,0.0,0.52,0.33,0.0,9.05,0.96,0.04,0.0,0.17,0.22,0.61,19.0,4.0,2.0,18,4,0,0.8181818181818182,0.2212389380530973,0.0,22
Khalid Murtazaliev,48,69,5.0,5,4.8,0.4,7.5,0.0,0.79,0.33,0.0,10.0,0.17,0.06,0.77,0.0,0.0,0.0,33.0,11.0,4.0,14,2,0,0.875,0.6956521739130435,1.0,16
Lerone Murphy,102,238,0.0,6,2.58,1.9,0.76,0.76,0.63,0.37,0.38,9.88,0.63,0.1,0.27,0.64,0.36,0.0,59.0,26.0,17.0,11,0,1,0.9166666666666666,0.4285714285714285,0.0,12
