name,Strikes Landed,Strikes Attempted,Takedowns Landed,Takedowns Attempted,Significant strikes per Minute,Significant strikes Absorbed per minute,Takedown Average,Submission Average,Significant Strike Defense,Takedown Defense,Knockdown Average,Average Fight Time,Standing Position Strikes,Clinch Position Strikes,Ground Position Strikes,Wins by KO,Wins by Submission,Wins by Decision,Strikes to Head,Strikes To Body,Strikes To Leg,wins,losses,draws,Win percentage,Striking Accuracy,Takedown Accuracy,Total Fights
Gunnar Nelson,267,442,10.0,30,1.83,3.05,1.86,0.93,0.5,0.67,0.1,10.4,0.54,0.08,0.37,0.22,0.11,0.67,204.0,41.0,22.0,18,5,1,0.75,0.6040723981900452,0.3333333333333333,24
Francis Ngannou,229,555,0.0,8,2.33,2.16,0.76,0.31,0.42,0.72,1.22,7.02,0.66,0.16,0.19,0.71,0.06,0.24,156.0,41.0,32.0,17,3,0,0.85,0.4126126126126126,0.0,20
Tafon Nchukwi,387,738,4.0,7,6.05,4.03,0.94,0.0,0.55,0.71,0.47,10.67,0.69,0.27,0.03,0.67,0.33,0.0,215.0,133.0,39.0,6,3,0,0.6666666666666666,0.524390243902439,0.5714285714285714,9
Ben Nguyen,210,524,1.0,3,3.51,3.01,0.25,1.0,0.59,0.63,0.75,8.53,0.78,0.15,0.07,0.53,0.18,0.29,145.0,40.0,25.0,17,8,0,0.68,0.4007633587786259,0.3333333333333333,25
Kyle Nelson,155,335,2.0,20,3.34,5.39,0.65,1.29,0.47,0.64,0.0,9.27,0.75,0.23,0.02,0.38,0.31,0.31,93.0,42.0,20.0,13,5,0,0.7222222222222222,0.4626865671641791,0.1,18
Matheus Nicolau,336,642,6.0,21,3.64,3.09,1.46,0.98,0.67,0.93,0.98,13.18,0.89,0.01,0.1,0.22,0.5,0.28,169.0,122.0,45.0,18,3,1,0.8181818181818182,0.5233644859813084,0.2857142857142857,22
Mats Nilsson,58,148,0.0,6,2.99,5.62,3.87,2.32,0.64,0.44,0.0,9.7,0.88,0.1,0.02,0.18,0.36,0.45,34.0,9.0,15.0,11,4,1,0.6875,0.3918918918918919,0.0,16
Roy Nelson,486,1327,16.0,62,2.18,4.79,1.14,0.13,0.47,0.66,0.61,10.62,0.71,0.2,0.09,0.0,0.0,0.0,377.0,58.0,51.0,23,14,0,0.6216216216216216,0.3662396382818387,0.2580645161290322,37
KJ Noons,715,2042,0.0,5,3.68,3.78,0.08,0.0,0.65,0.69,0.39,10.8,0.91,0.06,0.03,0.75,0.25,0.0,410.0,222.0,83.0,12,8,0,0.6,0.3501469147894221,0.0,20
Sage Northcutt,267,510,9.0,26,3.58,1.96,1.81,0.6,0.59,0.42,0.4,9.33,0.61,0.19,0.2,0.4,0.3,0.3,173.0,52.0,42.0,11,2,0,0.8461538461538461,0.5235294117647059,0.3461538461538461,13
Khabib Nurmagomedov,705,1444,49.0,127,4.1,1.75,5.32,0.79,0.65,0.85,0.17,13.22,0.42,0.04,0.54,0.28,0.34,0.38,604.0,65.0,36.0,29,0,0,1.0,0.4882271468144044,0.3858267716535433,29
Amanda Nunes,833,1614,11.0,58,4.4,2.75,2.61,0.79,0.56,0.82,0.71,9.97,0.66,0.06,0.29,0.34,0.55,0.11,569.0,98.0,166.0,22,5,0,0.8148148148148148,0.5161090458488228,0.1896551724137931,27
Antonio Rogerio Nogueira,740,2097,1.0,29,2.43,2.34,0.64,0.79,0.6,0.62,0.49,10.88,0.63,0.2,0.17,0.32,0.41,0.27,565.0,134.0,41.0,23,10,0,0.696969696969697,0.3528850739151168,0.0344827586206896,33
Chidi Njokuani,119,161,0.0,1,3.76,1.45,0.0,0.47,0.57,0.76,1.42,7.92,0.39,0.29,0.33,0.64,0.32,0.05,60.0,39.0,20.0,22,7,0,0.7586206896551724,0.7391304347826086,0.0,29
Said Nurmagomedov,204,443,1.0,19,4.15,2.2,0.61,0.31,0.61,0.7,0.31,8.18,0.76,0.14,0.1,0.12,0.76,0.12,112.0,42.0,50.0,16,2,0,0.8888888888888888,0.4604966139954853,0.0526315789473684,18
Istela Nunes,151,347,0.0,0,5.4,4.01,0.0,0.0,0.61,0.42,0.0,13.98,0.91,0.09,0.01,0.33,0.67,0.0,89.0,42.0,20.0,6,3,0,0.6666666666666666,0.4351585014409221,0.0,9
Casey O'Neill,401,700,8.0,18,8.65,4.68,2.59,0.97,0.58,0.6,0.0,11.6,0.74,0.04,0.22,0.33,0.44,0.22,318.0,52.0,31.0,9,0,0,1.0,0.5728571428571428,0.4444444444444444,9
Shayilan Nuerdanbieke,81,191,6.0,28,1.8,2.89,3.0,0.0,0.5,0.4,0.33,15.0,0.73,0.09,0.19,0.49,0.24,0.27,65.0,6.0,10.0,38,10,0,0.7916666666666666,0.4240837696335078,0.2142857142857142,48
Sean O'Malley,652,1047,3.0,6,7.75,3.48,0.54,0.54,0.65,0.65,1.25,8.42,0.95,0.02,0.03,0.73,0.2,0.07,460.0,139.0,53.0,15,1,0,0.9375,0.6227316141356256,0.5,16
Josiane Nunes,150,351,0.0,0,7.54,4.37,0.0,0.0,0.52,0.7,2.26,9.95,0.83,0.13,0.05,0.88,0.13,0.0,109.0,20.0,21.0,9,1,0,0.9,0.4273504273504273,0.0,10
Charles Oliveira,732,1366,26.0,83,3.53,3.18,2.46,2.89,0.52,0.57,0.51,6.92,0.58,0.2,0.21,0.27,0.09,0.64,424.0,196.0,112.0,33,8,0,0.8048780487804879,0.5358711566617862,0.3132530120481928,41
Christian Ocon,26,49,0.0,0,1.73,5.27,0.0,0.0,0.35,0.64,0.0,15.0,0.85,0.15,0.0,0.0,0.0,0.0,16.0,8.0,2.0,4,0,0,1.0,0.5306122448979592,0.0,4
Trey Ogden,41,90,1.0,4,2.73,4.6,1.0,2.0,0.34,1.0,0.0,15.0,0.93,0.02,0.05,0.0,0.27,0.73,10.0,23.0,8.0,15,5,0,0.75,0.4555555555555555,0.25,20
Sean O'Connell,304,624,0.0,10,5.46,6.77,0.0,0.54,0.45,0.3,0.81,7.95,0.7,0.25,0.05,0.53,0.29,0.18,207.0,65.0,32.0,17,9,0,0.6538461538461539,0.4871794871794871,0.0,26
